"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.940745015E0,-2.981498837E-3,6.168365479E-2,-1.983938813E-1
6.970737680E0,-1.234933436E-1,-1.842880249E-2,5.246025324E-2
7.000730378E0,-7.573312521E-2,-2.463531494E-2,9.654060006E-2
7.030723077E0,-1.420340538E-1,2.678585052E-2,-7.178306580E-3
7.060749076E0,-1.250859946E-1,1.886968613E-1,2.884688973E-2
7.080810842E0,-1.500431746E-1,1.475715637E-1,-2.918499708E-2
7.100872642E0,-5.970677733E-2,1.619539261E-1,-1.721030474E-2
7.120934408E0,-8.924874663E-2,1.693191528E-1,6.155312061E-3
7.140996174E0,-1.019823253E-1,1.527423859E-1,-7.320779562E-2
7.161057940E0,1.803958714E-1,9.226799011E-3,-1.269673705E-1
7.181119706E0,1.526919007E-1,-1.726493835E-1,-8.021649718E-2
7.201248139E0,2.201464772E-2,-2.613430023E-1,-1.010296345E-1
7.221376539E0,-1.161242425E-1,-2.111206055E-1,-2.233721018E-1
7.241504972E0,6.270334125E-2,-2.610788345E-1,-2.411312014E-1
7.261633405E0,2.413535416E-1,-3.301210403E-1,-9.462299943E-2
7.281761805E0,2.625024021E-1,-2.703819275E-1,1.945340931E-1
7.301890205E0,6.468650699E-2,-2.350044250E-1,3.835377097E-2
7.322018638E0,7.407426834E-3,-2.619752884E-1,-1.302264333E-1
7.342147037E0,-5.398949981E-2,3.687381744E-2,-3.131606877E-1
7.362242103E0,-7.890716195E-2,-2.570438385E-2,-1.228259504E-1
7.382303869E0,8.181411028E-2,-2.079410553E-1,5.544722080E-3
7.402365635E0,-1.217550933E-1,-2.634248734E-1,1.428735554E-1
7.422427401E0,-2.297440171E-2,-2.350873947E-1,2.652820349E-1
7.442489167E0,7.841277122E-2,-1.071166992E-2,3.857565820E-1
7.462550933E0,-2.025720477E-1,3.426656723E-1,-2.583149076E-2
7.482612699E0,-4.315970838E-1,1.668891907E-1,-4.907997251E-1
